Physiological Pathway,Functional Ortholog,Symbol,EC,Module,KO,Reaction,# MAGs,Unassembled reads,,,,,
,Oligopeptide transport system ATP-binding protein,oppD,NA,,K15583,NA,0,NA,,,,,
,Oligopeptide transport system ATP-binding protein,oppF,NA,,K10823,NA,24,NA,,,,,
,"HTH-type transcriptional regulator, regulator for ComX",comR,NA,,K20342,NA,0,NA,,,,,
,"HTH-type transcriptional regulator, SHP2-responsive activator",rgg2,NA,,K20373,NA,1,NA,,,,,
,"HTH-type transcriptional regulator, major conjugation operon repressor",prgX,NA,,K20377,NA,0,NA,,,,,
,"HTH-type transcriptional regulator, pheromone-responsive repressor",traA,NA,,K20380,NA,0,NA,,,,,
,Competence protein ComQ,comQ,NA,,K02251,NA,1,NA,,,,,
,Competence protein ComX,comX,NA,,K02553,NA,0,NA,,,,,
,"Two-component system, NarL family, sensor histidine kinase ComP ",comP,2.7.13.3,,K07680,NA,5,NA,,,,,
,"Two-component system, NarL family, competent response 
regulator ComA",comA,NA,,K07691,NA,1,NA,,,,,
Signaling systems,,,,,,,,,,,,,
"cAMP (cyclic adenosine
 3',5'-monophosphate) / 
CRP (cAMP receptor
 protein) system ","Adenylate cyclase, class 1",cyaA,4.6.1.1,"map02026,
map05111",K05851,"R00089,
R00434",8,Y,,,,,
,"CRP/FNR family transcriptional regulator, cyclic AMP receptor 
protein",crp,NA,,K10914,,46,Y,,,,,
"c-di-GMP (cylcic dimeric guanosine 3',5'-monophosphate) system",Diguanylate cyclase,acgB,2.7.7.65,map05111,K20954,NA,3,NA,,,,,
,,cdgK,,,K20955,,2,NA,,,,,
,,cdgA,,,K20956,,0,NA,,,,,
,,cdgH,,,K20957,,1,NA,,,,,
,,cdgL,,,K20958,,1,NA,,,,,
,,cdgM,,,K20959,,3,NA,,,,,
,,K20960,,,K20960,,1,NA,,,,,
,,vpvC,,,K20961,,0,NA,,,,,
,,sadC,,map02025,K21019,,1,NA,,,,,
,,siaD,,,K21020,,0,NA,,,,,
,,tpbB,,,K21021,,14,Y,,,,,
,,roeA,,,K21022,,9,Y,,,,,
,,mucR,,,K21023,,15,Y,,,,,
,c-di-GMP phosphodiesterase,cdgC,3.1.4.52,map05111,K20962,,4,NA,,,,,
,,acgA,,,K20963,,8,NA,,,,,
,,cdpA,,,K20964,,3,NA,,,,,
,,rocS,,,K20965,,0,NA,,,,,
,,mbaA,,,K20966,,0,NA,,,,,
,,vieA,,,K13246,,3,NA,,,,,
,,cdgJ,,,K07181,,3,NA,,,,,
,,bifA,,map02025,K21024,,3,NA,,,,,
Chemotaxis: methyl-accepting protein,Chemotaxis protein CheD,cheD,3.5.1.44,map02030,K03411,NA,26,NA,,,,,
,Chemotaxis protein methyltransferase CheR,cheR,21.1.80,,K00575,,45,NA,,,,,
,"Rwo-component system, chemotaxis family, protein-glutamate 
methylesterase/glutaminase",cheB,"3.1.1.61,
3.5.1.44",,K03412,,45,NA,,,,,
,"Two-component system, chemotaxis family, CheB/CheR fusion 
protein",cheBR,"2.1.1.80,
3.1.1.61",,K13924,,45,NA,,,,,
,Methyl-accepting chemotaxis protein,mcp,NA,,K03406,,56,Y,,,,,
,"Methyl-accepting chemotaxis protein I, serine sensor receptor",tsr,NA,,K05874,,7,NA,,,,,
,"Methyl-accepting chemotaxis protein II, aspartate sensor 
receptor",tar,NA,,K05875,,18,NA,,,,,
,"Methyl-accepting chemotaxis protein III, ribose and galactose 
sensor receptor",trg,NA,,K05876,,6,NA,,,,,
,"Methyl-accepting chemotaxis protein IV, peptide sensor receptor",tap,NA,,K05877,,0,NA,,,,,
,"Two-component system, chemotaxis family, sensor kinase CheA ",cheA,2.7.13.3,,K03407,,47,Y,,,,,
,Purine-binding chemotaxis protein CheW,cheW,NA,,K03408,,45,NA,,,,,
,Chemotaxis protein CheX,cheX,NA,,K03409,,18,NA,,,,,
,Chemotaxis protein CheC,cheC,NA,,K03410,,14,NA,,,,,
,"Two-component system, chemotaxis family, chemotaxis protein 
CheY",cheY,NA,,K03413,,58,NA,,,,,
,Chemotaxis protein CheZ,cheZ,NA,,K03414,,20,NA,,,,,
,"Two-component system, chemotaxis family, chemotaxis protein 
CheV",cheV,NA,,K03415,,29,NA,,,,,
Chemotaxis: aerotaxis,Aerotaxis receptor,aer,NA,map02030,K03776,NA,18,Y,,,,,
,"Two-component system, chemotaxis family, sensor kinase CheA ",cheA,2.7.13.3,,K03407,,47,Y,,,,,
,Purine-binding chemotaxis protein CheW,cheW,NA,,K03408,,45,NA,,,,,
,Chemotaxis protein CheX,cheX,NA,,K03409,,18,NA,,,,,
,Chemotaxis protein CheC,cheC,NA,,K03410,,14,NA,,,,,
,"Two-component system, chemotaxis family, chemotaxis protein 
CheY",cheY,NA,,K03413,,58,NA,,,,,
,Chemotaxis protein CheZ,cheZ,NA,,K03414,,20,NA,,,,,
,"Two-component system, chemotaxis family, chemotaxis protein 
CheV",cheV,NA,,K03415,,29,NA,,,,,
EPS/biofilms/biosurfactant biosynthesis,,,,,,,,,,,,,
Alginate (alg),"Two-component system, LytTR family, sensor histidine kinase AlgZ ",algZ,2.7.13.3,map02020,K08082,NA,7,Y,,,,,
,"Two-component system, LytTR family, response regulator AlgR",algR,NA,,K08083,,9,Y,,,,,
,GDP-mannose 6-dehydrogenase ,algD,1.1.1.132,,K00066,,4,Y,,,,,
,Mannunoran synthase,alg8,2.4.1.33,map00543,K19290,R08692 ,2,NA,,,,,
,Mannunoran synthase,alg44,,,K19291,,2,NA,,,,,
,Alginate O-acetyltransferase complex protein ,algI,NA,,K19294,NA,13,NA,,,,,
,Alginate O-acetyltransferase complex protein,algJ,,,K19295,,1,NA,,,,,
,Alginate O-acetyltransferase complex protein,algF,,,K19296,,1,NA,,,,,
,Alginate biosynthesis protein,algX,,,K19293,,1,NA,,,,,
Rhamnolipids (rhl),"LuxR family transcriptional regulator, quorum-sensing system 
regulator RhlR","rhlR, phzR",NA,map02025,K18099,NA,0,NA,,,,,
,Rhamnosyltransferase subunit A,rhlA,2.4.1.-,,K18100,,4,NA,,,,,
,Rhamnosyltransferase subunit B,rhlB,,,K18101,,0,NA,,,,,
,Rhamnosyltransferase ,"rfbF, rhlC",NA,,K12990,,4,NA,,,,,
Lectins (lec),"LuxR family transcriptional regulator, quorum-sensing system 
regulator RhlR","rhlR, phzR",NA,map02025,K18099,NA,0,NA,,,,,
,PA-I galactophilic lectin,lecA,,,K20258,,0,NA,,,,,
,PA-IIL fucose-binding lectin,lecB,,,K20259,,0,NA,,,,,
Polysaccharides (psl),Polysaccharide biosynthesis protein A,pslA ,NA,map00543,K20997,NA,8,NA,,,,,
,Polysaccharide biosynthesis protein C,pslC,,,K25205,,0,NA,,,,,
,Polysaccharide biosynthesis protein PslF,pslF,,,K20999,,1,NA,,,,,
,Polysaccharide biosynthesis protein PslH,pslH,,,K21001,,3,NA,,,,,
,Polysaccharide biosynthesis protein PslI,pslI,,,K21002,,1,NA,,,,,
Polysaccharides (pel),Polysaccharide biosynthesis protein PelA,pelA,NA,map02025,K21006,NA,9,NA,,,,,
,Polysaccharide biosynthesis protein PelB,pelB,,,K21007,,5,NA,,,,,
,Polysaccharide biosynthesis protein PelC,pelC,,,K21008,,5,NA,,,,,
,Polysaccharide biosynthesis protein PelD,pelD,,,K21009,,16,NA,,,,,
,Polysaccharide biosynthesis protein PelE,pelE,,,K21010,,5,NA,,,,,
,Polysaccharide biosynthesis protein PelF,pelF,,,K21011,,9,NA,,,,,
,Polysaccharide biosynthesis protein PelG,pelG,,,K21012,,11,NA,,,,,
Poly-N-acetyl-glucosamine (PNAG),"Poly-beta-1,6-N-acetyl-D-glucosamine synthase","pgaC, icaA",NA,map00543,K11936,NA,3,NA,,,,,
,Biofilm PGA synthesis protein PgaD,pgaD,NA,,K11937,,3,NA,,,,,
,"Poly-beta-1,6-N-acetyl-D-glucosamine synthesis protein",icaD,NA,,K21461,,0,NA,,,,,
Colanic acid (wca),Colanic acid/amylovoran biosynthesis protein WcaK/AmsJ,"wcaK, amsJ",NA,map00543,K16710,NA,6,NA,,,,,
,"Colanic acid/amylovoran/stewartan biosynthesis glycosyltransferase 
WcaL/AmsK/CpsK","wacL, amsL, cpsK",2.4.-.-,,K16703,,15,NA,,,,,
,Putative colanic acid biosynthesis glycosyltransferase WcaA,wcaA,NA,,K25875,,0,NA,,,,,
,Putative colanic acid biosynthesis acetyltransferase WcaB ,wcaB,2.3.1.-,,K03819,,0,NA,,,,,
,Putative colanic acid biosynthesis glycosyltransferase WcaC ,wcaC,2.4.-.-,,K13684,,2,NA,,,,,
,Putative colanic acid biosynthesis glycosyltransferase WcaE ,wcaE,2.4.-.-,,K13683,,2,NA,,,,,
,Putative colanic acid biosynthesis acetyltransferase WcaF,wcaF,2.3.1.-,,K03818,,1,NA,,,,,
,Putative colanic acid biosynthesis glycosyltransferase WcaI,wcaI,NA,,K03208,,1,NA,,,,,
,Undecaprenyl-phosphate glucose phosphotransferase,wcaJ,2.7.8.31,,K03606,,22,NA,,,,,
Trehalose (tre),Glucose-1-phosphate adenylyltransferase,glgC,2.7.7.27,M00565,K00975,R00948,16,NA,,,,,
,Starch synthase,glgA,2.4.1.21,,K00703,R02421,34,Y,,,,,
,"1,4-Alpha-glucan branching enzyme","GBE1, glgB",2.4.1.18,,K00700,R02110,32,Y,,,,,
,,K16149,,,K16149,R02110,16,NA,,,,,
,Isoamylase,"ISA, treX",3.2.1.68,,K01214,R11261,15,NA,,,,,
,(1->4)-Alpha-D-glucan 1-alpha-D-glucosylmutase,"treY, glgY",5.4.99.15,,K06044,R01824,14,NA,,,,,
,Maltooligosyltrehalose trehalohydrolase,"treZ, glgZ",3.2.1.141,,K01236,R11256,12,NA,,,,,
Acetan (ace),Rhamnosyltransferase,aceR,NA,map00543,K25891,NA,0,NA,,,,,
,"Beta-1,6-glucosyltransferase",aceP,NA,,K25890,,0,NA,,,,,
,Glucosyltransferase,aceQ,NA,,K25889,,0,NA,,,,,
,2-Beta-glucuronyltransferase,gumK,2.4.1.264,,K13659,,3,NA,,,,,
,Acyltransferase,aceI,NA,,K25892,,0,NA,,,,,
,Acyltransferase ,gumF,2.3.1.-,,K13663,,2,NA,,,,,
,"Alpha-1,3-mannosyltransferase","gumH, aceA",2.4.1.252,,K13657,R09733,7,NA,,,,,
,"Beta-1,4-glucosyltransferase",aceB,2.4.1.-,,K25888,NA,0,NA,,,,,
,Undecaprenyl-phosphate glucose phosphotransferase,aceA,2.7.8.31,,K25887,,0,NA,,,,,
Heat shock,,,,,,,,,,,,,
Response regulatation,,,,,,,,,,,,,
Sigma-32 factor,RNA polymerase sigma-32 factor,rpoH,NA,NA,K03089,NA,40,Y,,,,,
Sigma-70 factor,"RNA polymerase sigma-70 factor, ECF subfamily",rpoE,NA,NA,K03088,NA,62,Y,,,,,
Repressive regulation ,"MerR family transcriptional regulator, heat shock protein HspR",hspR,NA,NA,K13640,NA,14,NA,,,,,
,Heat-inducible transcriptional repressor,hrcA,NA,NA,K03705,NA,34,NA,,,,,
Heat shock proteins (HSPs),,,,,,,,,,,,,
"Protein refolding (HSP70/dnaJ, HSP40/dnaK, HSP24/grpE)",Molecular chaperone dnaJ,dnaJ,NA,NA,K03686,NA,63,Y*,,,,,
,Molecular chaperone dnaK,"dnaK, HSPA9",NA,map03018,K04043,NA,63,,,,,,
,Molecular chaperone grpE,grpE,NA,NA,K03687,NA,63,,,,,,
"Protein encapsulation (HSP60/groEL, HSP10/groES)",Chaperonin GroEL (HSP60),"groEL, ",5.6.1.7,map03018,K04077,NA,62,Y*,,,,,
,Chaperonin GroES,groES,NA,NA,K04078,NA,62,,,,,,
Protein deaggregation (HSP20/sHSPs),Molecular chaperone IbpA,ibpA,NA,NA,K04080,NA,23,Y*,,,,,
,Molecular chaperone IbpB,ibpB,NA,NA,K04081,NA,17,,,,,,
Protein repair/removal (HSP100/clp),"ATP-dependent Clp protease, protease subunit",clpP,3.4.21.92,NA,K01358,NA,62,Y,,,,,
,ATP-dependent Clp protease ATP-binding subunit ClpA,clpA,NA,,K03694,,59,NA,,,,,
,ATP-dependent Clp protease ATP-binding subunit ClpB,clpB,NA,,K03695,,61,NA,,,,,
,ATP-dependent Clp protease ATP-binding subunit ClpC,clpC,NA,,K03696,,33,NA,,,,,
,ATP-dependent Clp protease ATP-binding subunit ClpE,clpE,NA,,K03697,,3,NA,,,,,
,ATP-dependent Clp protease ATP-binding subunit ClpL,clpL,NA,,K04086,,0,NA,,,,,
,ATP-dependent Clp protease ATP-binding subunit ClpX,clpX,NA,,K03544,,61,Y,,,,,
,ATP-dependent HslUV protease ATP-binding subunit HslU,hslU,NA,,K03667,,44,NA,,,,,
Misfolded protein removal (degP/htrA),Serine protease Do,"degP, htrA",3.4.21.107,map02020,K04771,NA,61,Y,,,,,
Protein reactivation (HSP90/htpG),Molecular chaperone HtpG,htpG,NA,NA,K04079,NA,44,Y,,,,,
Periplasmic protein stabilisation (fkpA),FKBP-type peptidyl-prolyl cis-trans isomerase FkpA,fkpA,5.2.1.8,NA,K03772,NA,24,NA,,,,,
Archaeal heat shock response,Archaeal chaperonin,"cct, ths",NA,NA,K22447,NA,2,NA,,,,,
Oxidative stress,,,,,,,,,,,,,
Response regulation,,,,,,,,,,,,,
H2O2 response regulator,"LysR family transcriptional regulator, hydrogen peroxide-inducible 
genes activator",oxyR,NA,NA,K04761,NA,39,Y,,,,,
Redox-sensitive response regulator (soxR),"MerR family transcriptional regulator, redox-sensitive transcriptional 
activator SoxR",soxR,NA,NA,K13639,NA,14,NA,,,,,
Sigma-38 factor (rpoS),RNA polymerase nonessential primary-like sigma factor,rpoS,NA,NA,K03087,NA,21,Y,,,,,
Peroxide stress response regulator (perR),Fur family transcriptional regulator,perR,NA,NA,K09825,NA,38,NA,,,,,
Antioxidants,,,,,,,,,,,,,
Peroxide reduction (katG),Catalase-peroxidase,katG,1.11.1.21,NA,K03782,NA,40,Y,,,,,
"Superoxide dismutase 
(SOD)","Superoxide dismutase, Cu-Zn family",SOD1,1.15.1.1,NA,K04564,NA,51,Y,,,,,
,"Superoxide dismutase, Fe-Mn family",SOD2,,,K04565,,9,Y,,,,,
,"Superoxide dismutase, Cu-Zn family",SOD3,,,K16627,,0,NA,,,,,
,Nickel superoxide dismutase,sodN,,,K00518,,6,NA,,,,,
"Redox-regulated 
chaperone (HSP33/hslO)",Molecular chaperone hsp33,hslO,NA,NA,K04083,NA,39,NA,,,,,
Starvation-induced regulation (dps),Starvation-inducible DNA-binding protein,dps,NA,NA,K04047,NA,35,NA,,,,,
Thioredoxin system (trx),Thioredoxin,trxA,NA,NA,K03671,NA,63,NA,,,,,
,Thioredoxin reductase (NADPH),trxB,1.8.1.9,NA,K00384,NA,61,Y,,,,,
,Thioredoxin 2,trxC,1.8.1.8,NA,K03672,NA,35,NA,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
